"Source:","D:\Projekty\FAMO\some_wave_v2\some_wave_v2.sch"
"Date:","19.09.2022 13:37:35"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","143"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"12","3","D1, D2, D3","BAS40-04","Diode:BAS40-04","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/85701/bas40v.pdf",""
"13","2","D4, D5","SMAJ15A","Device:D_Zener","Diodes_SMD:D_SMA","~",""
"14","3","FID1, FID2, FID3","Fiducial","Mechanical:Fiducial","Fiducials:Fiducial_0.5mm_Dia_1mm_Outer","~",""
"15","1","GND1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_Bridge_Pitch2.54mm_Drill1.0mm","~",""
"16","3","IN1, OUT1, OUT2","B6252H5-NPP3G-50","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~",""
"17","2","IN2, IN3","SMA6251A1-3GT50G-50","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132134-11_Vertical"," ~",""
"18","1","J1","TE 1546551-3","Connector:Conn_01x03_Male","TerminalBlock_4UCON:TerminalBlock_4UCON_19963_03x3.5mm_Straight","~",""
"19","4","JP1, JP2, JP3, JP4","igły 2x1x2,54","Jumper:Jumper_2_Open","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"20","1","JP5","Jumper_NO_Small","Device:Jumper_NO_Small","Connectors:GS2","~",""
"21","6","JP6, JP7, JP8, JP9, JP10, JP11","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"22","1","JP12","SolderJumper_3_Open","Jumper:SolderJumper_3_Open","Connectors:GS3","~",""
"23","4","L1, L3, L4, L6","BLM18KG331SN1D","Device:L_Core_Ferrite","Inductors_SMD:L_0603","~","Murata"
"24","1","L2","LQM21PN4R7MGRD","Device:L_Core_Ferrite","Inductors_SMD:L_0805","~","Murata"
"25","1","L5","SLF7045T-3R3M2R5-PF","Device:L","Inductors_SMD:L_7.3x7.3_H4.5","~","3,3uH 2,5A 7x7mm"
"26","1","M1","NUCLEO-H743ZI2_s0me_wave","ff:NUCLEO-H743ZI2_s0me_wave","ff_lib:MODULE_NUCLEO_some_wave","STMicroelectronics",""
"27","3","M15V1, P15V1, VuC1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_d2.0mm_Drill1.0mm","~",""
"28","16","R1, R2, R3, R4, R5, R6, R9, R10, R11, R12, R13, R14, R20, R30, R31, R32","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"29","1","R7","24k9 1%","Device:R","Resistors_SMD:R_0603","~",""
"30","1","R8","82,5k (82k) 1%","Device:R","Resistors_SMD:R_0603","~",""
"31","6","R15, R16, R17, R18, R19, R21","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"32","9","R22, R23, R26, R27, R28, R29, R42, R43, R44","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"33","2","R24, R25","49,9R 1%","Device:R","Resistors_SMD:R_0603","~",""
"34","3","R33, R34, R35","7k5 1%","Device:R","Resistors_SMD:R_0603","~",""
"35","3","R36, R37, R38","30k 1%","Device:R","Resistors_SMD:R_0603","~",""
"36","3","R39, R40, R41","15k 1%","Device:R","Resistors_SMD:R_0603","~",""
"37","1","R45","2k","Device:R","Resistors_SMD:R_0805","~",""
"38","1","R46","47R","Device:R","Resistors_SMD:R_0603","~",""
"39","1","SW1","EG2207","Switch:SW_DPDT_x2","ff_lib:SW_E-Switch_EG2207_DPDT_Straight","",""
"40","1","SW2","TACT-613N-F","Switch:SW_Push","Buttons_Switches_THT:SW_PUSH_6mm","~",""
"41","5","U1, U3, U4, U5, U6","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"42","1","U2","TPS54228DDA","ff:TPS54228DDA","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps54228.pdf","alt. TPS54228D"
"43","1","U7","LM4040DBZ-5","Reference_Voltage:LM4040DBZ-5","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf",""
"44","1","U8","FM24CL16B-GTR","Memory_EEPROM:24LC64","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://www.cypress.com/file/136491/download","opt. M24C04-WMN6P"
